Version:,,,,,,
TriggerVersion:,v4,,,,,
0,0.03693893,-7.07,-4.8,301.8579,0,0
0,0.03105484,-7.07,-4.8,301.8579,0,0
0,0.01530402,-7.07,-4.8,301.8579,0,0
0,0.03154249,-7.07,-4.8,301.8579,0,0
0,0.03752223,-7.07,-4.8,301.8579,0,0
0,0.03240154,-7.07,-4.8,301.8579,0,0
0,0.03388539,-7.07,-4.8,301.8579,0,0
0,0.03619212,-7.07,-4.8,301.8579,0,0
0,0.03337251,-7.07,-4.8,301.8579,0,0
0,0.01104481,-7.07,-4.8,301.8579,0,0
0,0.01581815,-7.07,-4.8,301.8579,0,0
0,0.03693702,-7.07,-4.8,301.8579,0,0
0,0.03359053,-7.07,-4.8,301.8579,0,0
0,0.01366361,-7.07,-4.8,301.8579,0,0
0,0.03255938,-7.07,-4.8,301.8579,0,0
0,0.03743998,-7.07,-4.8,301.8579,0,0
0,0.01429603,-7.07,-4.8,301.8579,0,0
0,0.03170048,-7.07,-4.8,301.8579,0,0
0,0.03748736,-7.07,-4.8,301.8579,0,0
0,0.03360121,-7.07,-4.8,301.8579,0,0
0,0.01285481,-7.07,-4.8,301.8579,0,0
0,0.02484108,-7.07,-4.8,301.8579,0,0
0,0.01292967,-7.07,-4.8,301.8579,0,0
0,0.03100943,-7.07,-4.8,301.8579,0,0
0,0.0153452,-7.07,-4.8,301.8579,0,0
0,0.03249677,-7.07,-4.8,304.2197,0,0
0,0.0391127,-7.07,-4.8,307.0623,0,0
0,0.01240866,-7.07,-4.8,307.9642,0,0
0,0.0523541,-7.07,-4.8,311.7691,0,0
0,0.0077839,-7.07,-4.8,312.3348,0,0
0,0.00943019,-7.07,-4.8,313.0202,0,0
0,0.03153501,-7.07,-4.8,315.3121,0,0
0,0.01476119,-7.07,-4.8,316.3849,0,0
0,0.03219689,-7.07,-4.8,318.7249,0,0
0,0.05063704,-7.07,-4.8,322.4051,0,0
0,0.01997012,-7.07,-4.8,323.8564,0,0
0,0.01310181,-7.07,-4.8,324.8087,0,0
0,0.0333233,-7.07,-4.8,327.2305,0,0
0,0.03700246,-7.07,-4.8,329.9198,0,0
0,0.0137464,-7.07,-4.8,330.9188,0,0
0,0.0323411,-7.07,-4.8,333.2693,0,0
0,0.03721761,-7.07,-4.8,335.9742,0,0
0,0.01440361,-7.07,-4.8,337.021,0,0
0,0.03202754,-7.07,-4.8,339.3487,0,0
0,0.03694442,-7.07,-4.8,342.0337,0,0
0,0.03283416,-7.07,-4.8,344.42,0,0
0,0.01420219,-7.07,-4.8,345.4522,0,0
0,0.03263625,-7.07,-4.8,347.8241,0,0
0,0.03763115,-7.07,-4.8,350.5591,0,0
0,0.0138768,-7.07,-4.8,351.5676,0,0
0,0.03175472,-7.07,-4.8,353.8755,0,0
0,0.03725086,-7.07,-4.8,356.5828,0,0
0,0.04693424,-7.07,-4.8,359.9938,0,0
0,0.02066227,-7.07,-4.8,359.9938,0,0
0,0.0314759,-7.07,-4.8,359.9938,0,0
0,0.0159586,-7.07,-4.8,359.9938,0,0
0,0.03145385,-7.07,-4.8,359.9938,0,0
0,0.03730062,-7.07,-4.8,359.9938,0,0
0,0.04739282,-7.07,-4.8,359.9938,0,0
0,0.02260751,-7.07,-4.8,359.9938,0,0
0,0.00906649,-7.07,-4.8,359.9938,0,0
0,0.0352358,-7.07,-4.8,359.9938,0,0
0,0.03642091,-7.07,-4.8,359.9938,0,0
0,0.01234036,-7.07,-4.8,359.9938,0,0
0,0.03286298,-7.07,-4.8,359.9938,0,0
0,0.03780206,-7.07,-4.8,359.9938,0,0
15,0.01344163,-7.07,-4.8,359.9938,5,1
0,0.03242378,-7.07,-4.8,359.9938,0,0
0,0.03750564,-7.07,-4.8,359.9938,0,0
0,0.01429721,-7.07,-4.8,359.9938,0,0
0,0.03601706,-7.07,-4.8,359.9938,0,0
0,0.04593399,-7.07,-4.8,359.9938,0,0
0,0.03981954,-7.07,-4.8,359.9938,0,0
0,0.0099551,-7.07,-4.8,359.9938,0,0
0,0.03528847,-7.07,-4.8,359.9938,0,0
0,0.03589259,-7.07,-4.8,359.9938,0,0
0,0.01285187,-7.07,-4.8,359.9938,0,0
0,0.03251695,-7.07,-4.8,359.9938,0,0
0,0.03715252,-7.07,-4.8,359.9938,0,0
0,0.01425674,-7.07,-4.8,359.9938,0,0
0,0.03181864,-7.07,-4.8,359.9938,0,0
0,0.03883651,-7.07,-4.8,359.9938,0,0
0,0.01358989,-7.07,-4.8,359.9938,0,0
0,0.03131979,-7.07,-4.8,359.9938,0,0
0,0.03730017,-7.07,-4.8,359.9938,0,0
0,0.03239594,-7.07,-4.8,359.9938,0,0
0,0.01475431,-7.07,-4.8,359.9938,0,0
0,0.03645545,-7.07,-4.8,359.9938,0,0
0,0.03219669,-7.07,-4.8,359.9938,0,0
0,0.01539708,-7.07,-4.8,359.9938,0,0
0,0.03131075,-7.07,-4.8,359.9938,0,0
0,0.03738317,-7.07,-4.8,359.9938,0,0
0,0.03204286,-7.07,-4.8,359.9938,0,0
0,0.01532381,-7.07,-4.8,359.9938,0,0
0,0.04973905,-7.07,-4.8,359.9938,0,0
0,0.01982541,-7.07,-4.8,359.9938,0,0
0,0.0143282,-7.07,-4.8,359.9938,0,0
0,0.03161594,-7.07,-4.8,359.9938,0,0
0,0.03761777,-7.07,-4.8,359.9938,0,0
