Version:,Taxi,Continuous/Discontinuous,v4.1.8941.20741,
0,0.01669179,-9.2488,0.8456,235.7431
0,0.01669892,-9.3179,0.7986,235.7431
0,0.01661749,-9.3865,0.7518,235.7431
0,0.01677977,-9.4559,0.7046,235.7431
0,0.01643552,-9.5238,0.6584,235.7431
0,0.01718971,-9.5933,0.6078,233.9403
0,0.01627096,-9.6576,0.5579,232.2339
0,0.01680484,-9.7224,0.5045,230.4714
0,0.01647754,-9.7843,0.4501,228.7433
0,0.01692175,-9.8462,0.3924,226.9686
0,0.01654859,-9.9049,0.3341,225.233
0,0.01691649,-9.965,0.2746,225.233
0,0.01644639,-10.0234,0.2167,225.233
0,0.01668547,-10.0826,0.1579,225.233
0,0.01659977,-10.1415,0.0995,225.233
0,0.01669746,-10.2008,0.0407,225.233
0,0.01670148,-10.2601,-0.0181,225.233
0,0.01672208,-10.3195,-0.077,225.233
0,0.01668648,-10.3787,-0.1358,225.233
0,0.01679474,-10.4383,-0.1949,225.233
0,0.01661287,-10.4973,-0.2534,225.233
0,0.01686921,-10.5572,-0.3128,225.233
0,0.01662452,-10.6162,-0.3714,225.233
0,0.01666759,-10.6753,-0.43,225.233
0,0.01672619,-10.7347,-0.4889,225.233
0,0.01670417,-10.794,-0.5478,225.233
0,0.01639556,-10.8522,-0.6055,225.233
0,0.01670077,-10.9115,-0.6643,225.233
0,0.01672433,-10.9709,-0.7232,225.233
0,0.01658445,-11.0297,-0.7816,225.233
0,0.01669151,-11.089,-0.8403,225.233
0,0.01679331,-11.1486,-0.8995,225.233
0,0.01660262,-11.2076,-0.9579,225.233
0,0.01660019,-11.2665,-1.0164,225.233
0,0.01661951,-11.3255,-1.0749,225.233
0,0.01668411,-11.3847,-1.1337,225.233
0,0.01679877,-11.4443,-1.1928,225.233
0,0.01669804,-11.5036,-1.2516,225.233
0,0.01660756,-11.5626,-1.3101,225.233
0,0.0167935,-11.6222,-1.3692,225.233
0,0.01684622,-11.682,-1.4285,225.233
0,0.01638092,-11.7401,-1.4862,225.233
0,0.01687363,-11.8,-1.5456,225.233
0,0.01659385,-11.8589,-1.6041,225.233
0,0.01690924,-11.919,-1.6636,225.233
0,0.01640755,-11.9772,-1.7214,225.233
0,0.0169259,-12.0373,-1.781,225.233
0,0.01646465,-12.0373,-1.781,225.233
0,0.01669708,-12.0373,-1.781,225.233
0,0.01688669,-12.0373,-1.781,227.004
0,0.0166372,-12.0373,-1.781,228.7489
0,0.01657595,-12.0373,-1.781,230.4874
0,0.01653022,-12.0373,-1.781,232.221
0,0.01676869,-12.0373,-1.781,233.9796
0,0.01672607,-12.0373,-1.781,235.7338
0,0.0165761,-12.0373,-1.781,237.4723
0,0.01608899,-12.0373,-1.781,239.1597
0,0.01683126,-12.0373,-1.781,240.9249
0,0.01696753,-12.0373,-1.781,242.7044
0,0.01659334,-12.0373,-1.781,244.4447
0,0.01655166,-12.0373,-1.781,246.1805
0,0.0169882,-12.0373,-1.781,247.9622
0,0.01676701,-12.0373,-1.781,247.9622
0,0.01636071,-12.0373,-1.781,247.9622
0,0.01676816,-12.0373,-1.781,247.9622
0,0.01660053,-12.0373,-1.781,247.9622
0,0.01668662,-12.0373,-1.781,247.9622
0,0.01660232,-12.0373,-1.781,247.9622
0,0.01681883,-12.0373,-1.781,247.9622
0,0.01658259,-12.0373,-1.781,247.9622
0,0.01649635,-12.0373,-1.781,247.9622
0,0.01659742,-12.0373,-1.781,247.9622
0,0.01663157,-12.0373,-1.781,247.9622
0,0.01655909,-12.0373,-1.781,247.9622
0,0.01670612,-12.0373,-1.781,247.9622
0,0.01679911,-12.0373,-1.781,247.9622
0,0.01652114,-12.0373,-1.781,247.9622
0,0.01658155,-12.0373,-1.781,247.9622
0,0.01679134,-12.0373,-1.781,247.9622
0,0.01690913,-12.0373,-1.781,247.9622
0,0.01670627,-12.0373,-1.781,247.9622
0,0.01637501,-12.0373,-1.781,247.9622
0,0.01681503,-12.0373,-1.781,247.9622
0,0.01673063,-12.0373,-1.781,247.9622
0,0.01656877,-12.0373,-1.781,247.9622
0,0.01680069,-12.0373,-1.781,247.9622
0,0.01650382,-12.0373,-1.781,247.9622
0,0.01689925,-12.0373,-1.781,247.9622
0,0.0166031,-12.0373,-1.781,247.9622
0,0.0165953,-12.0373,-1.781,247.9622
0,0.01660124,-12.0373,-1.781,247.9622
0,0.01674235,-12.0373,-1.781,247.9622
31,0.01703555,-12.0373,-1.781,247.9622
0,0.01633865,-12.0373,-1.781,247.9622
0,0.01660169,-12.0373,-1.781,247.9622
0,0.01687749,-12.0373,-1.781,247.9622
0,0.01648321,-12.0373,-1.781,247.9622
0,0.01684006,-12.0373,-1.781,247.9622
0,0.01671966,-12.0373,-1.781,247.9622
0,0.01690382,-12.0373,-1.781,247.9622
0,0.01668148,-12.0373,-1.781,247.9622
0,0.01657321,-12.0373,-1.781,247.9622
0,0.01670323,-12.0373,-1.781,247.9622
0,0.01659644,-12.0373,-1.781,247.9622
0,0.01672167,-12.0373,-1.781,247.9622
