Version:,Taxi,Continuous/Discontinuous,v4.1.8942.21304,,,
0,0.01664929,-7.9611,1.4359,349.6979,0,0
0,0.0167671,-7.9686,1.4771,349.6979,0,0
0,0.01663955,-7.976,1.5181,349.6979,0,0
0,0.01665184,-7.9835,1.559,349.6979,0,0
0,0.01657226,-7.9909,1.5998,349.6979,0,0
0,0.01676088,-7.9984,1.641,349.6979,0,0
0,0.01667922,-8.0058,1.682,349.6979,0,0
0,0.01671005,-8.0133,1.7231,349.6979,0,0
0,0.01653809,-8.0207,1.7638,349.6979,0,0
0,0.01673729,-8.0282,1.8049,349.6979,0,0
0,0.01669905,-8.0356,1.846,349.6979,0,0
0,0.01679942,-8.0431,1.8873,349.6979,0,0
0,0.01671831,-8.0506,1.9284,349.6979,0,0
0,0.01659342,-8.058,1.9693,349.6979,0,0
0,0.01688213,-8.0668,2.0105,347.9614,0,0
0,0.0162371,-8.0764,2.05,346.2912,0,0
0,0.0167272,-8.0876,2.0903,344.5706,0,0
0,0.01686621,-8.1,2.1305,342.8358,0,0
0,0.01653851,-8.1134,2.1697,341.1346,0,0
0,0.01685808,-8.127,2.2095,341.1346,0,0
0,0.0167689,-8.1406,2.2492,341.1346,0,0
0,0.0163812,-8.1538,2.2879,341.1346,0,0
0,0.01683716,-8.1674,2.3278,341.1346,0,0
0,0.0165596,-8.1808,2.3669,341.1346,0,0
0,0.01657871,-8.1942,2.4062,341.1346,0,0
0,0.01685932,-8.2078,2.446,341.1346,0,0
0,0.01679463,-8.2214,2.4858,341.1346,0,0
0,0.0166132,-8.2348,2.5251,341.1346,0,0
0,0.01672176,-8.2483,2.5646,341.1346,0,0
0,0.01649106,-8.2617,2.6036,341.1346,0,0
0,0.01659582,-8.2751,2.6429,341.1346,0,0
0,0.0168816,-8.2887,2.6828,341.1346,0,0
0,0.01670658,-8.3022,2.7223,341.1346,0,0
0,0.01681595,-8.3158,2.7621,341.1346,0,0
0,0.01658206,-8.3292,2.8013,341.1346,0,0
0,0.01669558,-8.3427,2.8408,341.1346,0,0
0,0.01646635,-8.356,2.8798,341.1346,0,0
0,0.01683165,-8.3696,2.9196,341.1346,0,0
0,0.0166125,-8.3831,2.9589,341.1346,0,0
0,0.01679665,-8.3966,2.9986,341.1346,0,0
0,0.01670831,-8.4101,3.0381,341.1346,0,0
0,0.01658903,-8.4235,3.0774,341.1346,0,0
0,0.01669541,-8.437,3.1168,341.1346,0,0
0,0.0165529,-8.4504,3.156,341.1346,0,0
0,0.01668466,-8.4639,3.1955,341.1346,0,0
0,0.016747,-8.4774,3.2351,341.1346,0,0
0,0.0165417,-8.4908,3.2742,341.1346,0,0
0,0.01670995,-8.5043,3.3137,341.1346,0,0
0,0.01660103,-8.5177,3.353,341.1346,0,0
0,0.01696969,-8.5314,3.3931,341.1346,0,0
0,0.01658837,-8.5449,3.4324,341.1346,0,0
0,0.01681939,-8.5584,3.4722,341.1346,0,0
0,0.0164197,-8.5717,3.511,341.1346,0,0
0,0.01669794,-8.5852,3.5505,341.1346,0,0
0,0.01674674,-8.5987,3.5901,341.1346,0,0
0,0.016811,-8.6123,3.6299,341.1346,0,0
0,0.01663009,-8.6258,3.6692,341.1346,0,0
0,0.01706197,-8.6396,3.7096,341.1346,0,0
0,0.01615239,-8.6526,3.7478,341.1346,0,0
0,0.0168501,-8.6662,3.7876,341.1346,0,0
0,0.01670961,-8.6797,3.8271,341.1346,0,0
0,0.01658724,-8.6932,3.8664,341.1346,0,0
0,0.01671912,-8.7067,3.9059,341.1346,0,0
0,0.0167232,-8.7202,3.9455,341.1346,0,0
0,0.01650154,-8.7335,3.9845,341.1346,0,0
0,0.01662027,-8.747,4.0238,341.1346,0,0
0,0.01712939,-8.7608,4.0643,341.1346,0,0
0,0.01642049,-8.7741,4.1032,341.1346,0,0
0,0.01656514,-8.7875,4.1424,341.1346,0,0
0,0.01682938,-8.8011,4.1822,341.1346,0,0
0,0.01658626,-8.8145,4.2214,341.1346,0,0
0,0.01654262,-8.8278,4.2605,341.1346,0,0
0,0.01679006,-8.8414,4.3003,341.1346,0,0
