Version: Taxi Continuous/Discontinuous v4.1.8942.21304
TriggerVersion: v4
TaskType: Discontinuous
MazeName: Open Maze MD2
NumberOfTrials: 1
PosterLocations: 
CompletionWindow: 100000
TimeoutDuration: 1000
IntersessionInterval: 1000
RewardTime: 1000
RewardViewCriteria: 45
RotationSpeed: 104.3357
MovementSpeed: 5
JoystickDeadzone: 0
AngleRestrictionAmount: 0
RequiredDistance: 1
ProximityDistance: 1
DirectionErrorDistance: 0.5
isJoystickEnabled: False
isReverseEnabled: True
isForwardEnabled: True
isRightEnabled: True
isLeftEnabled: True
isYInverted: False
isXInverted: False
RestartOnTrialFail: False
ResetPositionOnTrial: True
FaceRandomDirectionOnStart: False
MultipleWaypoints: False
DisableInterSessionBlackout: True
ResetPositionOnSession: False
EnableDirectionError: False
DisableHint: False
EnableRewardAreaError: False
RewardAreaErrorTime: -1
--- Start of Dataset --- 
 0 0.01651752 -7.0700 -3.9050 74.8006
 0 0.01677371 -7.0700 -3.9050 76.5507
 0 0.01661878 -7.0700 -3.9050 78.2846
 0 0.01701062 -7.0700 -3.9050 80.0594
 0 0.01647140 -7.0700 -3.9050 81.7780
 0 0.01658498 -7.0700 -3.9050 83.5084
 0 0.01681135 -7.0700 -3.9050 85.2624
 0 0.01653450 -7.0700 -3.9050 86.9875
 0 0.01671232 -7.0700 -3.9050 88.7312
 0 0.01654779 -7.0700 -3.9050 90.4578
 0 0.01683787 -7.0700 -3.9050 92.2145
 0 0.01660778 -7.0700 -3.9050 93.9473
 0 0.01655907 -7.0700 -3.9050 95.6750
 0 0.01704597 -7.0700 -3.9050 97.4535
 0 0.01653913 -7.0700 -3.9050 97.4535
 0 0.01648116 -7.0700 -3.9050 97.4535
 0 0.01653763 -7.0700 -3.9050 97.4535
 0 0.01674960 -7.0700 -3.9050 97.4535
 0 0.01673622 -7.0700 -3.9050 97.4535
 0 0.01656069 -7.0700 -3.9050 97.4535
 0 0.01664207 -7.0700 -3.9050 97.4535
 0 0.01677802 -7.0700 -3.9050 97.4535
 0 0.01682418 -7.0700 -3.9050 97.4535
 0 0.01649448 -7.0700 -3.9050 97.4535
 0 0.01668439 -7.0700 -3.9050 97.4535
 0 0.01678584 -7.0700 -3.9050 97.4535
 0 0.01634010 -7.0700 -3.9050 97.4535
 0 0.01700120 -7.0700 -3.9050 97.4535
 0 0.01691286 -6.9862 -3.9160 97.4535
 0 0.01662136 -6.9037 -3.9268 97.4535
 0 0.01666737 -6.8211 -3.9376 97.4535
 0 0.01669084 -6.7384 -3.9484 97.4535
 0 0.01662025 -6.6560 -3.9592 97.4535
 0 0.01700488 -6.5720 -3.9722 99.2277
 0 0.01630125 -6.4920 -3.9722 100.9285
 0 0.01668209 -6.4106 -3.9722 102.6691
 0 0.01660564 -6.3302 -3.9722 104.4016
 0 0.01688758 -6.2491 -3.9722 106.1636
 0 0.01643754 -6.1709 -3.9722 107.8786
 0 0.01685655 -6.0915 -3.9722 109.6374
 0 0.01664116 -6.0140 -3.9722 111.3736
 0 0.01664920 -5.9375 -3.9722 113.1108
 0 0.01681659 -5.8612 -3.9722 114.8653
 0 0.01659979 -5.7870 -3.9722 116.5973
 0 0.01652026 -5.7142 -3.9722 118.3209
 0 0.01688419 -5.6412 -3.9722 120.0826
 0 0.01659824 -5.5707 -3.9722 121.8143
 0 0.01669510 -5.5011 -3.9722 123.5562
 0 0.01661040 -5.4333 -3.9722 125.2893
 0 0.01678882 -5.3663 -3.9722 127.0410
 0 0.01617990 -5.3032 -3.9722 128.7291
 0 0.01703119 -5.2385 -3.9722 130.5061
 0 0.01682806 -5.1762 -3.9722 132.2618
 0 0.01654915 -5.1167 -3.9722 133.9885
 0 0.01671741 -5.0583 -3.9722 135.7327
 0 0.01690570 -5.0012 -3.9722 137.4966
 0 0.01634322 -4.9478 -3.9722 139.2018
 0 0.01678450 -4.8949 -3.9722 140.9530
 0 0.01670013 -4.8443 -3.9722 142.6954
 0 0.01676516 -4.7956 -3.9722 144.4446
 0 0.01669655 -4.7491 -3.9722 146.1867
 0 0.01661226 -4.7050 -3.9722 147.9200
 0 0.01693184 -4.6623 -3.9722 149.6865
 0 0.01655692 -4.6205 -3.9722 149.6865
 0 0.01643326 -4.5790 -3.9722 149.6865
 0 0.01686212 -4.5365 -3.9722 149.6865
 0 0.01660196 -4.4946 -3.9722 149.6865
 0 0.01667031 -4.4525 -3.9722 149.6865
